,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,Amtali,,Male,Female,Total,,,,,,,,,,
,, Muslim,123713,130029,253742,,,,,,,,,,
,, Hindu,7934,8086,16020,,,,,,,,,,
,, Christian,10,1,11,,,,,,,,,,
,, Buddhist,488,497,985,,,,,,,,,,
,, Other,23,21,44,,,,,,,,,,
,, Total,132168,138634,270802,,,,,,,,,,
,Bamna,,Male,Female,Total,,,,,,,,,,
,, Muslim,36471,37163,73634,,,,,,,,,,
,, Hindu,2957,2950,5907,,,,,,,,,,
,, Christian,1,2,3,,,,,,,,,,
,, Buddhist,9,11,20,,,,,,,,,,
,,Other,0,0,0,,,,,,,,,,
,, Total,39438,40126,79564,,,,,,,,,,
,Barguna,,Male,Female,Total,,,,,,,,,,
,, Muslim,119298,123602,242900,,,,,,,,,,
,, Hindu,9220,9073,18293,,,,,,,,,,
,, Christian,13,21,34,,,,,,,,,,
,, Buddhist,42,49,91,,,,,,,,,,
,, Other,7,18,25,,,,,,,,,,
,, Total,128580,132763,261343,,,,,,,,,,
,Betagi,,Male,Female,Total,,,,,,,,,,
,, Muslim,50899,54614,105513,,,,,,,,,,
,, Hindu,5695,5732,11427,,,,,,,,,,
,, Christian,88,116,204,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,56683,60462,117145,,,,,,,,,,
,Patharghata,,Male,Female,Total,,,,,,,,,,
,, Muslim,72064,74799,146863,,,,,,,,,,
,, Hindu,8468,8563,17031,,,,,,,,,,
,, Christian,11,20,31,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,80544,83383,163927,,,,,,,,,,
,Agailjhara,,Male,Female,Total,,,,,,,,,,
,, Muslim,39697,43022,82719,,,,,,,,,,
,, Hindu,30986,32189,63175,,,,,,,,,,
,, Christian,1735,1818,3553,,,,,,,,,,
,, Buddhist,3,3,6,,,,,,,,,,
,, Other,-,2,2,,,,,,,,,,
,, Total,72421,77034,149455,,,,,,,,,,
,Babuganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,63696,69188,132884,,,,,,,,,,
,, Hindu,3771,3477,7248,,,,,,,,,,
,, Christian,114,107,221,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,3,1,4,,,,,,,,,,
,, Total,67586,72775,140361,,,,,,,,,,
,Bakerganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,133480,149250,282730,,,,,,,,,,
,, Hindu,14999,15094,30093,,,,,,,,,,
,, Christian,428,555,983,,,,,,,,,,
,, Buddhist,17,19,36,,,,,,,,,,
,, Other,1,2,3,,,,,,,,,,
,, Total,148925,164920,313845,,,,,,,,,,
,Banari para,,Male,Female,Total,,,,,,,,,,
,, Muslim,61257,63801,125058,,,,,,,,,,
,, Hindu,11632,11158,22790,,,,,,,,,,
,, Christian,182,156,338,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,73073,75115,148188,,,,,,,,,,
,Gaurnadi,,Male,Female,Total,,,,,,,,,,
,, Muslim,77035,81949,158984,,,,,,,,,,
,, Hindu,14236,13633,27869,,,,,,,,,,
,, Christian,912,772,1684,,,,,,,,,,
,, Buddhist,23,22,45,,,,,,,,,,
,, Other,3,1,4,,,,,,,,,,
,, Total,92209,96377,188586,,,,,,,,,,
,Hizla,,Male,Female,Total,,,,,,,,,,
,, Muslim,70923,71496,142419,,,,,,,,,,
,, Hindu,1863,1791,3654,,,,,,,,,,
,, Christian,2,1,3,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,72789,73288,146077,,,,,,,,,,
,Barisal,,Male,Female,Total,,,,,,,,,,
,, Muslim,244302,238916,483218,,,,,,,,,,
,, Hindu,21363,19112,40475,,,,,,,,,,
,, Christian,1503,1735,3238,,,,,,,,,,
,, Buddhist,34,38,72,,,,,,,,,,
,, Other,5,9,14,,,,,,,,,,
,, Total,267207,259810,527017,,,,,,,,,,
,Mhendiganj,,Male,Female,Total,,,,,,,,,,
